Methods Information:
09.04.2024 19:37:06
<untitled>  
List:  Volume(ml)       Buffer    ml/min
 ->    0.00 Collect All:  1.00 ml 
01     0.00 to   15.00 BUFFER A     1.00
--------------------------------------------------
--------------------------------------------------
Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:	Events:		
11.867	0.2871	28.05			
11.883	0.2871	28.05			
11.900	0.2872	28.05			
11.917	0.2872	28.05			
11.933	0.2873	28.06			
11.950	0.2873	28.06			
11.967	0.2873	28.05			
11.983	0.2873	28.05			
12.000	0.2873	28.06			
12.017	0.2873	28.06			
12.033	0.2873	28.06			
12.050	0.2872	28.06			
12.067	0.2873	28.06			
12.083	0.2873	28.05			
12.100	0.2874	28.06			
12.117	0.2875	28.06			
12.133	0.2876	28.06			
12.150	0.2876	28.06			
12.167	0.2876	28.06			
12.183	0.2876	28.06			
12.200	0.2876	28.06			
12.217	0.2876	28.08			
12.233	0.2877	28.08			
12.250	0.2878	28.08			
12.267	0.2878	28.08			
12.283	0.2878	28.06			
12.300	0.2878	28.06			
12.317	0.2878	28.08			
12.333	0.2879	28.08			
12.350	0.2879	28.08			
12.367	0.2879	28.08			
12.383	0.2880	28.08			
12.400	0.2881	28.09			
12.417	0.2880	28.08			
12.433	0.2881	28.08			
12.450	0.2881	28.08			
12.467	0.2881	28.08			
12.483	0.2880	28.08			
12.500	0.2881	28.09			
12.517	0.2881	28.08			
12.533	0.2882	28.08			
12.550	0.2882	28.09			
12.567	0.2882	28.11			
12.583	0.2882	28.09			
12.600	0.2883	28.09			
12.617	0.2883	28.11			
12.633	0.2883	28.11			
12.650	0.2883	28.09			
12.667	0.2883	28.09			
12.683	0.2883	28.09			
12.700	0.2883	28.09			
12.717	0.2883	28.11			
12.733	0.2883	28.09			
12.750	0.2883	28.09			
12.767	0.2883	28.09			
12.783	0.2884	28.09			
12.800	0.2884	28.09			
12.817	0.2883	28.09			
12.833	0.2884	28.09			
12.850	0.2886	28.08			
12.867	0.2886	28.08			
12.883	0.2886	28.09			
12.900	0.2885	28.09			
12.917	0.2885	28.11			
12.933	0.2886	28.09			
12.950	0.2888	28.09			
12.967	0.2888	28.09			
12.983	0.2887	28.09			
13.000	0.2886	28.09			
13.017	0.2887	28.09			
13.033	0.2887	28.11			
13.050	0.2887	28.11			
13.067	0.2889	28.11			
13.083	0.2890	28.11			
13.100	0.2890	28.11			
13.117	0.2889	28.12			
13.133	0.2888	28.12			
13.150	0.2888	28.12			
13.167	0.2889	28.12			
13.183	0.2890	28.11			
13.200	0.2890	28.11			
13.217	0.2890	28.11			
13.233	0.2890	28.11			
13.250	0.2889	28.12			
13.267	0.2889	28.11			
13.283	0.2891	28.12			
13.300	0.2892	28.12			
13.317	0.2892	28.12			
13.333	0.2891	28.12			
13.350	0.2890	28.11			
13.367	0.2892	28.11			
13.383	0.2893	28.11			
13.400	0.2892	28.09			
13.417	0.2891	28.11			
13.433	0.2893	28.12			
13.450	0.2894	28.11			
13.467	0.2895	28.11			
13.483	0.2895	28.12			
13.500	0.2894	28.03			
13.517	0.2893	28.09			
13.533	0.2893	28.09			
13.550	0.2894	28.03			
13.567	0.2894	28.09			
13.583	0.2895	28.03			
13.600	0.2894	28.03			
13.617	0.2895	28.09			
13.633	0.2895	28.02			
13.650	0.2896	28.02			
13.667	0.2897	28.02			
13.683	0.2896	28.02			
13.700	0.2896	28.02			
13.717	0.2896	28.03			
13.733	0.2898	28.03			
13.750	0.2897	28.03			
13.767	0.2897	28.03			
13.783	0.2898	28.03			
13.800	0.2899	28.05			
13.817	0.2899	28.03			
13.833	0.2899	28.03			
13.850	0.2900	28.03			
13.867	0.2899	28.05			
13.883	0.2899	28.05			
13.900	0.2899	28.05			
13.917	0.2899	28.05			
13.933	0.2899	28.03			
13.950	0.2899	28.05			
13.967	0.2900	28.05			
13.983	0.2901	28.05			
14.000	0.2902	28.05			
14.017	0.2901	28.05			
14.033	0.2901	28.06			
14.050	0.2901	28.05			
14.067	0.2901	28.05			
14.083	0.2900	28.06			
14.100	0.2900	28.06			
14.117	0.2902	28.06			
14.133	0.2902	28.08			
14.150	0.2902	28.06			
14.167	0.2902	28.05			
14.183	0.2901	28.06			
14.200	0.2902	28.08			
14.217	0.2902	28.08			
14.233	0.2903	28.09			
14.250	0.2904	28.08			
14.267	0.2906	28.06			
14.283	0.2905	28.08			
14.300	0.2904	28.09			
14.317	0.2903	28.09			
14.333	0.2904	28.08			
14.350	0.2905	28.09			
14.367	0.2906	28.08			
14.383	0.2906	28.08			
14.400	0.2906	28.08			
14.417	0.2905	28.08			
14.433	0.2905	28.09			
14.450	0.2905	28.09			
14.467	0.2906	28.09			
14.483	0.2905	28.09			
14.500	0.2906	28.09			
14.517	0.2907	28.09			
14.533	0.2909	28.09			
14.550	0.2909	28.09			
14.567	0.2908	28.11			
14.583	0.2907	28.11			
14.600	0.2907	28.11			
14.617	0.2909	28.09			
14.633	0.2908	28.09			
14.650	0.2909	28.09			
14.667	0.2908	28.09			
14.683	0.2906	28.05			
14.700	0.2905	28.00			
14.717	0.2905	27.97			
14.733	0.2905	27.97			
14.750	0.2904	27.97			
14.767	0.2905	27.96			
14.783	0.2906	27.94			
14.800	0.2906	27.96			
14.817	0.2905	27.94			
14.833	0.2905	27.94			
14.850	0.2905	27.94			
14.867	0.2904	27.94			
14.883	0.2904	27.94			
14.900	0.2904	27.93			
14.917	0.2903	27.91			
14.933	0.2904	27.90			
14.950	0.2905	27.90			
14.967	0.2906	27.88			
14.983	0.2908	27.91			
15.000	0.2910	27.96			
15.017	0.2909	27.99			
15.033	0.2910	28.00			
15.050	0.2910	28.00			
15.067	0.2908	28.00			
15.083	0.2908	27.99			
15.100	0.2908	27.99			
15.117	0.2908	27.99			
15.133	0.2909	27.99			
15.150	0.2910	28.00			
15.167	0.2910	27.99			
15.183	0.2908	27.99			
15.200	0.2905	27.97			
15.217	0.2898	27.99			
15.233	0.2886	27.99			
15.250	0.2873	27.99			
15.267	0.2863	27.99			
15.283	0.2854	27.99			
15.300	0.2847	28.00			
15.317	0.2843	28.00			
15.333	0.2839	28.02			
15.350	0.2835	28.03			
15.367	0.2832	28.03			
15.383	0.2830	28.05			
15.400	0.2830	28.05			
